update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,2048,3057.7388763667377,0,0.0,0.0,0,0,0.0,0.0,0,0,1.9205034673213959,-0.10918077081441879,-0.022171882446855307,0.0009404493976035155,0.04002712766117513,0.0,0.0,0,0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
2,4096,3110.6789414485374,1,0.017500000074505806,0.06777720884718953,0.0,0.2800000011920929,197.5,9.682458365518542,160.0,200.0,1.9262106269598007,-0.07158094178885221,-0.027049533557146788,0.0008893321501091123,0.013231739690368036,0.017500000074505806,0.06777720884718953,0.0,0.2800000011920929
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
3,6144,3174.468722190851,1,0.035218749195337296,0.13640162910779718,0.0,0.5634999871253967,193.5625,24.932330291210246,97.0,200.0,1.9305097162723541,-0.054779136553406715,-0.016236973693594337,0.0011224260233575478,0.012108031127169122,0.035218749195337296,0.13640162910779718,0.0,0.5634999871253967
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
4,8192,3163.076268646274,2,0.0,0.0,0.0,0.0,200.0,0.0,200.0,200.0,1.9390607476234436,-0.0446391087025404,-0.012991206138394773,0.00018406561684969347,0.006923126882517132,0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
5,10240,3060.031794649285,3,0.0,0.0,0.0,0.0,200.0,0.0,200.0,200.0,1.9386350512504578,-0.031315600499510765,-0.01073954114690423,0.00011223974161111983,0.005317581652846419,0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
6,12288,2804.146836562044,4,0.07100000232458115,0.19733759771952228,0.0,0.7390000224113464,187.0,36.92560087527351,58.0,200.0,1.9389595687389374,-0.02104837354272604,-0.014130871742963791,0.0021117241121828556,0.013697559253245513,0.07100000232458115,0.19733759771952228,0.0,0.7390000224113464
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
7,14336,3070.5292689082057,4,0.024812500923871994,0.09609840285591237,0.0,0.3970000147819519,195.875,15.976056303105594,134.0,200.0,1.9400994032621384,-0.015562328277155757,-0.004483722004806623,9.167118832920096e-05,0.00392316660855293,0.024812500923871994,0.09609840285591237,0.0,0.3970000147819519
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
8,16384,3042.9317336624495,5,0.04596875049173832,0.1216869034721342,0.0,0.3790000081062317,192.5625,19.697616448443704,138.0,200.0,1.9388596266508102,-0.0034994632405869197,-0.009134889696724713,0.0008320930101035628,0.01181010123260455,0.04596875049173832,0.1216869034721342,0.0,0.3790000081062317
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
9,18432,3016.452818315451,6,0.031562499701976776,0.12224103571043261,0.0,0.5049999952316284,194.375,21.78553132241672,110.0,200.0,1.9342335313558578,-0.0004764658151543699,-0.007308357395231724,0.0007845788677514065,0.011297149926465334,0.031562499701976776,0.12224103571043261,0.0,0.5049999952316284
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
10,20480,3088.764575376138,6,0.07471874821931124,0.18367412720190535,0.0,0.7164999842643738,187.5625,33.78788383059821,63.0,200.0,1.9309218972921371,0.010922183078946546,-0.00950594583991915,0.0018788732486427762,0.024215762311720873,0.07471874821931124,0.18367412720190535,0.0,0.7164999842643738
11,22528,4414.696060509035,0,0.1850312501192093,0.32367187650740625,0.0,0.8560000061988831,14.4375,26.95822868346509,0.0,87.0,0.1850312501192093,0.32367187650740625,0.0,0.8560000061988831
12,24576,4476.962538639504,0,0.13249999843537807,0.23115267928050376,0.0,0.7164999842643738,177.5,42.95346318982906,63.0,200.0,0.13249999843537807,0.23115267928050376,0.0,0.7164999842643738
13,26624,4538.071802457656,1,0.025718750432133675,0.06808725419090647,0.0,0.21250000596046448,197.0625,7.789967506350717,175.0,200.0,0.025718750432133675,0.06808725419090647,0.0,0.21250000596046448
14,28672,4508.4017998054915,1,0.1485312506556511,0.24222306950562403,0.0,0.703000009059906,173.9375,44.664679487823484,66.0,200.0,0.1485312506556511,0.24222306950562403,0.0,0.703000009059906
15,30720,4511.370995602561,2,0.15331249870359898,0.23975012032106238,0.0,0.6309999823570251,172.875,43.630372162061605,82.0,200.0,0.15331249870359898,0.23975012032106238,0.0,0.6309999823570251
16,32768,4581.5721216413995,2,0.21103124879300594,0.29206412214058564,0.0,0.7705000042915344,161.4375,55.00450975829164,51.0,200.0,0.21103124879300594,0.29206412214058564,0.0,0.7705000042915344
17,34816,4587.297410800685,3,0.09806250035762787,0.21896438730992088,0.0,0.7120000123977661,182.375,40.69378791658501,64.0,200.0,0.09806250035762787,0.21896438730992088,0.0,0.7120000123977661
